Date/Time,frame_number,frame_len,radiotap_datarate,radiotap_dbm_antsignal1,radiotap_dbm_antsignal2,radiotap_dbm_antsignal3,radiotap.dbm_antsignal_avg,wlan_radio_data_rate,wlan_radio_signal_dbm,wlan_radio_duration
 2021-05-22 19:36:26 CET,199,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,200,70,1,-9,-9,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,201,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,202,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,203,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,204,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,205,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,206,76,24,-69,-69,-77,-72,24,-77,28
 2021-05-22 19:36:26 CET,207,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,208,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,209,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,210,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,211,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,214,70,24,-74,-74,-76,-75,24,-76,28
 2021-05-22 19:36:26 CET,215,88,24,-75,-75,-76,-75,24,-76,32
 2021-05-22 19:36:26 CET,216,76,24,-75,-75,-77,-76,24,-77,28
 2021-05-22 19:36:26 CET,217,76,24,-75,-75,-77,-76,24,-77,28
 2021-05-22 19:36:26 CET,218,76,24,-75,-75,-77,-76,24,-77,28
 2021-05-22 19:36:26 CET,219,76,24,-75,-75,-77,-76,24,-77,28
 2021-05-22 19:36:26 CET,222,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,223,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,224,70,1,-9,-9,-18,-12,1,-18,304
 2021-05-22 19:36:26 CET,225,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,226,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,227,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,228,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,229,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,230,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,231,70,1,-9,-9,-18,-12,1,-18,304
 2021-05-22 19:36:26 CET,232,76,24,-75,-75,-77,-76,24,-77,28
 2021-05-22 19:36:26 CET,233,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,234,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,235,70,24,-75,-75,-77,-76,24,-77,28
 2021-05-22 19:36:26 CET,236,70,24,-75,-75,-76,-75,24,-76,28
 2021-05-22 19:36:26 CET,237,76,24,-75,-75,-77,-76,24,-77,28
 2021-05-22 19:36:26 CET,238,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,239,70,1,-9,-9,-18,-12,1,-18,304
 2021-05-22 19:36:26 CET,240,70,1,-9,-9,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,243,88,24,-75,-75,-76,-75,24,-76,32
 2021-05-22 19:36:26 CET,246,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,247,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,248,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,249,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,250,70,1,-15,-15,-18,-16,1,-18,304
